él_295,1466
comer_144,485
dentro_603,668
él_500,1471
pensar_925,1065
ese_549,781
fuerte_372,819
bien_966,386
comer_231,489
dentro_73,673
tú_263,1349
sí_307,1286
él_717,1473
ese_719,789
comer_422,509
sí_659,1296
tú_80,1380
comer_355,502
fuerte_487,821
sí_83,260
sí_655,1294
bien_95,52
pensar_97,198
él_262,1462
sí_306,1285
bien_270,369
comer_709,528
cuánto_733,613
pensar_623,1056
él_410,1470
bien_337,373
tú_176,1344
comer_323,500
tú_340,1355
tú_234,1346
tú_762,1378
tú_205,268
tú_288,270
bien_522,379
fuerte_153,811
ese_121,767
tú_612,1367
cuánto_1024,593
tú_44,1360
comer_625,523
tú_740,1377
sí_359,1289
cuánto_1019,592
comer_444,513
tú_207,269
sí_157,247
comer_860,538
tú_619,1368
tú_488,1365
comer_309,497
pensar_189,197
él_918,1474
ese_608,783
dentro_532,664
sí_251,254
tú_635,1369
sí_79,259
fuerte_628,826
bien_230,46
cuánto_460,607
tú_377,1356
bien_16,367
comer_1010,472
pensar_122,1045
tú_126,1339
fuerte_310,814
tú_890,1383
fuerte_361,816
bien_295,50
ese_138,768
tú_691,1373
pensar_641,1058
cuánto_415,602
tú_266,1350
comer_70,526
cuánto_1073,595
comer_1032,475
pensar_771,1062
bien_401,377
cuánto_952,625
bien_626,383
sí_657,1295
cuánto_403,600
sí_228,251
cuánto_847,617
tú_481,1364
comer_1036,476
bien_374,374
sí_159,248
bien_244,48
cuánto_742,614
ese_624,784
tú_451,1362
pensar_66,1059
dentro_566,665
él_296,1467
tú_449,1361
sí_277,256
tú_247,1348
sí_633,1292
fuerte_242,813
comer_408,505
ese_352,776
ese_642,786
tú_1139,1338
fuerte_240,812
tú_154,1341
comer_705,527
fuerte_363,818
cuánto_954,626
pensar_761,1061
comer_654,525
cuánto_405,601
comer_1043,478
comer_1028,474
comer_238,490
tú_455,1363
él_280,1463
cuánto_708,612
ese_20,770
tú_893,1384
sí_240,252
sí_291,1283
bien_561,381
comer_560,521
él_285,1464
cuánto_873,621
cuánto_963,627
dentro_371,661
ese_544,780
dentro_692,672
comer_712,529
comer_1085,482
ese_385,779
comer_286,493
tú_316,1352
pensar_777,1063
cuánto_931,624
dentro_596,667
cuánto_483,609
comer_644,524
cuánto_837,616
bien_329,372
comer_1004,471
ese_380,778
tú_53,1366
pensar_753,1060
comer_293,494
tú_168,1343
fuerte_362,817
bien_294,371
dentro_8,80
pensar_450,1051
sí_194,249
cuánto_1134,599
tú_418,1359
bien_147,366
él_302,1468
ese_143,769
ese_697,788
tú_711,1374
tú_1087,1337
tú_229,1345
sí_1105,1277
cuánto_706,611
sí_419,1290
sí_292,1284
él_223,1459
tú_172,267
comer_786,535
bien_578,382
comer_590,522
tú_884,1382
sí_284,1282
tú_724,1376
comer_412,507
sí_565,1291
sí_308,1287
comer_529,520
dentro_809,674
comer_477,517
bien_17,44
comer_747,531
bien_416,378
comer_358,503
sí_155,246
pensar_339,1048
pensar_600,1053
fuerte_588,825
cuánto_468,608
sí_37,257
cuánto_1084,597
ese_347,775
sí_278,1278
tú_639,1370
bien_381,375
comer_765,532
cuánto_703,610
fuerte_571,822
bien_288,370
cuánto_420,603
pensar_640,1057
tú_1017,1335
comer_1046,479
comer_1022,473
comer_1072,481
cuánto_878,622
tú_390,1357
bien_979,387
bien_1107,364
pensar_894,1064
ese_219,772
cuánto_858,618
ese_638,785
dentro_486,663
tú_96,272
bien_174,45
dentro_457,662
tú_160,1342
comer_429,511
comer_248,491
cuánto_1130,598
tú_407,1358
comer_489,519
cuánto_928,623
comer_86,537
pensar_61,1054
él_290,1465
pensar_378,1049
bien_383,376
comer_414,508
comer_1039,477
fuerte_587,824
comer_409,506
comer_148,487
sí_242,253
comer_1175,483
tú_1031,1336
ese_695,787
dentro_580,666
ese_344,774
cuánto_445,604
comer_1051,480
tú_646,1371
comer_298,495
comer_123,484
dentro_647,670
él_524,1472
comer_875,539
comer_426,510
bien_1153,365
comer_268,492
dentro_369,660
comer_779,533
sí_76,258
fuerte_584,823
comer_303,496
